ID,Stars,Cluster,Distance
IvgKdlte_JNdd17XRxkOrg,4,2,2.932024893
YDCxBTJmF-lLCk1Qx8vDfg,3,2,2.070317797
T49ZvBa6mD4xHSmjHe-ArA,4,14,4.665133765
eOv0Dbq2E8sd0CKMAqTImw,4,2,2.782194946
_jsJFrAmFVPRio0eEVExbA,2.5,22,2.437316662
Lml0-yTNsMYsP9IrSMxw9A,2.5,2,3.37012692
QVZBd_eu0oJ4IN0md2XPTQ,5,9,2.699999279
udZJ8YgsHdqtFDQkyPTV1Q,3,17,2.022693891
ucKQlQvOeJxETLNkpKcaSw,3.5,2,1.986693455
KayYbHCt-RkbGcPdGOThNg,4,26,2.310730306
xUf11yTcoRagwNiJcY8GAA,1,22,3.894922325
ZL6DNzyenFm9Kpz6uADlNg,2.5,2,3.103347156
OcTG-KzDleuRub-pb6JS3Q,4,2,2.938186888
Y2p07YEC8xOsYTHWf0UxiA,3,14,3.347542697
g58NW9q4F09wTMiI7EIjmg,3.5,11,3.857241261
Pu5uzlZ05pqVlx6LcZbfgw,3,26,2.823090241
83_p9vIqOq1TUIf3_GD7bA,4.5,2,2.934125079
UtWJ8NGMg-3z28s0RzlUoQ,3,14,3.77654433
bZcqORBnVApUA2-SEn7VEQ,2,2,3.556569053
B9C6j80ob0f1pwi1Cnnd1Q,3,14,3.243325487
tvXTHj9V5sgRoeVJW_FiTg,3,2,3.508080925
2SwC8wqpZC4B9iFVTgYT9A,4,9,1.804653189
PzG0XmAmtXFs6Fdnubf41g,4,2,2.710333615
#NAME?,4.5,14,1.859012227
W7-Ybhe6JWJFXjcbmgvdyA,3,10,2.508376236
qUeBDN0D8SC93KeAHhiL-g,4.5,25,3.250072176
YXuvFMtygHPFEOEXgRtgLQ,2.5,15,3.16697876
LltDzuzRbAJbSrqD4JH-3A,3,15,1.909559879
VkqKyq09rDYMhFk5nElWWA,3,23,1.836304789
QIJa5h2d65Bgh82zct7c7A,4,14,1.512945961
PTkChuI3GPCw-ZL1Iph76A,3.5,14,3.687425217
BbIh5NTizhV4Fq_mLmNkpg,1.5,15,3.447173309
IxQ1ATP_Wg_QujO9nywzcQ,4,2,2.684531151
TyIsuojeKcTb4Acfg7xqew,4,15,1.740158622
oj8bMz76cKXQClpFTFNW9w,5,11,1.5478533
k1A8pNspBPinGDivxkuDSA,3.5,17,1.861725217
#NAME?,3.5,10,1.979803096
OjzR6hUYasFReo0vhVn0-w,4,5,8.81E-15
6AnorAMPkTdSDbUkOoV1Rw,3.5,2,1.648203911
rEKBr81s19Soh3dYj4bcGQ,3.5,23,4.366938425
q_BKmbdlYfQJroJVHfYMUQ,4,2,3.378894202
vMCCvnDU-Iz_D_pmbcMqzA,2.5,17,1.375779899
hUV4bjXE8Ijd-pDNr8S6mA,4.5,13,2.570834148
Z101WZaISochG6g7tI2ZVw,3,2,2.80452841
Eixtf79t1_ZKaC-7J2kAWg,3.5,2,2.914444525
Z0OGW8PysysRXE0dR7QxQQ,4,13,2.249509047
I9-Ei8_KYtMjbixNJSCvwA,3.5,15,1.930626398
URGZtJhOCrbJ8-RkLvslOg,3,17,1.936581962
yfuoL_w76WFVHcGJbw0IIg,3,15,2.566595111
YUZVBdGmagwXV-yOhR-1GQ,2.5,14,1.920974561
OIL-eZX8d10jgWPLW-E7zA,3,15,3.367344651
FtjvnLhh51ZBYEpKAARaFQ,3,17,1.58744383
rm1hBa1HPcLhUSwuincX2Q,3,14,4.4082631
Z7HNl4Gz00cA0_wt0S-vSw,4.5,11,6.403398859
#NAME?,4,11,1.34557695
rEpubmz577MOhpDmWPH1uw,3.5,14,1.257356384
PSlOtPIo28BvWOzdLmRRRQ,3,15,2.762705109
wan0X-oHpLgGTPXqaICZCw,3.5,11,1.049593015
QnyzlVMyx0Exri-Lay10cA,3.5,2,3.761475959
81sqVj0xHyJXGYT0ip5fmQ,2.5,2,4.055789651
m61vZsAxmTEq3uiCjFjM8Q,3.5,2,1.986693455
93UCt9OgWYmypZCpXtUu8g,3.5,14,3.251102491
ORTRrw3ClZ0Ld0LgY1H_5g,3.5,14,1.367228905
9aw0t0rlACKkMaxsX0KlKA,4,14,1.604721522
5Udv4CASAXB2eH66TefWPQ,4,2,1.944006375
2Igiyhi82R8_QaaPplRmCw,4.5,15,2.364613841
Cex2R008tMFg8R5fAtf77w,3.5,2,2.668019268
n7G2XFGvmS3duDJ4AzjKiQ,2.5,14,1.866983323
8tBfgYCI6Fz9xrSYCYCYXA,3,14,1.741767252
Tb7hQ37UFA2QFaMwjFieQw,2.5,18,2.351766809
qemCNgjeYGcFsRwxW9x4xw,3.5,2,3.838731669
iudRNo5Q8W7firUBYJEqQQ,2.5,15,3.520911291
dpRsK3JyaD3GKorVWzQUmA,3,26,2.320879791
aIzx9R8MN9VgSSJt1jy5TA,4.5,2,2.272784176
vWnwaD-kykqiEc2Q0hbYsw,1.5,2,4.164659195
2X5G4Ujq0s4Wfn4TC7gX0g,4.5,2,2.868126093
XQ7elqSFIRogvqpiTZz-Wg,3,2,2.099055254
JL5B_s1EoN4zIru4JSw4Qg,3.5,2,1.986693455
IafkUjO5CiXAu9LfB4_Sgg,5,11,1.661244939
OS1fGOcx_Erie5gujWIFNQ,3.5,2,1.785091386
DzOPHyrG2XuVqKEvHCnN7w,4.5,11,3.073274769
nqRNOug4OMrYTTZg-qLxXA,4,2,3.074387191
K8Ebs8G1rwc3DBdznHvDxg,3,14,1.806016133
h3la53L9-OX_HlfeAySh0Q,2.5,2,2.535283974
pvGT62T6Ci1LKOS9DL42pg,4,2,1.935062926
l-OmDgEd4QkZpyXVpkp2yA,3,2,3.463721008
Bza-l75OiKcMRmTYILpyfQ,3,13,1.331813745
#NAME?,2.5,15,2.305620736
AH1PrZQDIdjpKgy1z8XxUg,3.5,11,1.24955888
wqu7ILomIOPSduRwoWp4AQ,4,2,2.047617859
1vQLTKwmcmZXtNzfKEvMmA,3.5,14,3.027127751
hhNlQWaKqGbMPoeZHoL-IQ,3.5,26,1.979027091
SgQYRICpMdWCmY7wM2Cmcw,2.5,14,1.920974561
uwiD9jxs09xxXG0by_xKuA,3,17,1.306364205
mrbfnIXD5U4pMxuZgKedOw,3,2,2.919623081
sNmQJQWEVGheCnw5Tf4Phg,4,2,2.71824287
jrSGpWnVJy8jqgN6XSC7Nw,4,25,2.454514579
KZXtzoI84iI1CEcAnD7OPA,3.5,14,4.313189442
zpNGtjBlIkDq_PLGSCPlAg,3.5,14,3.807826229
ZS7-I04iDm4oRP_GJsJqrA,4,26,4.10938929
PFAOxw4Gl8gm7PGWvohCWg,3.5,17,1.861725217
z4cCguoHdU48pj6sXMIzqg,2.5,18,5.453163283
sbTF0cLKZH6_BP8BLARVDg,2.5,7,2.23884829
OxIeMVcop5oxBUWANi-1Rw,3.5,7,1.525506285
imzKM9-mgN1Yk_RIXx3IgA,3.5,15,1.577351886
IEHaU93HpEbdUO4z4bKzDw,3.5,13,1.694105182
NeUf9FyCCIN4MEseNyqkXQ,3.5,2,2.03935528
JcP-IIrZkW_Yyv4a0yLRCw,3,18,0.641737546
4LcFKTr6Ah87VcxW2z5e6w,1.5,22,2.121836996
buVALudg30kgkDusqB3yJw,4.5,15,2.364613841
wHi8ODv7TGmeUB02XoX-mA,2.5,2,2.535283974
WXpi9z1bqF9raZSW8z70Ow,3.5,2,1.867736424
j7kgLc4Uys_sb-H7_Velcg,3,2,3.057007839
DhDNNHZtaBxYNSqJz64ixg,4.5,2,3.147305105
PxP19Rb88OQKiSMl2oWNsg,3,2,2.80452841
9mwShpTgZofOujt4JfyGmw,2.5,14,2.840177355
90Fqfzd8zD9AuuNBSv9lAg,4,12,2.836422914
KEzIorUdFjqCuxbRxKPghA,4,2,2.047617859
OT3yVpDrDVITDCIYox8d9A,3.5,15,2.411785514
8AskFIgGxqNb8RbcDCAfmA,4,11,0.961895523
A2XkbJ07hrR80t0EFgLikQ,3.5,2,2.03935528
L5387MoRyx9orlRyYfCSPA,4,15,2.143075427
dHDi4wCcjsOR6vcZ8oOIoA,3,2,3.463721008
41CXLCeB8z2oNdIOvnrzIA,2.5,14,2.080723426
l2gPB9mqiHSbpwSUa7zrjg,2,7,2.41143054
gfpl_GyyY5uj6zJnIdzImQ,3.5,20,0.67073594
0FgwBx7pgmNdUtsd_T8UYQ,4,3,2.05E-14
SzHTdZR3yY1WBYUxkVxmUQ,3,2,4.113044649
xgcZN3F2f9LxLASQK_xzhw,4,14,3.516109748
_aGVicux2dJm9sqzLSCJtg,3.5,18,1.187620116
uUorjstNslr3gkIsVGtQAg,3.5,2,1.943200264
GSiHJG8LqTn5ZQAY1r9q9w,1.5,23,4.929917079
0Lsd35rHY6UtPFHjjxJ1LA,2.5,17,2.609384448
1E53rS8afK2jiLod8Jwy7A,2.5,15,2.713415504
j0uzPYXgu-hmkvuGnj-B1w,3.5,2,1.867736424
XmdTkxKyJd7TuDLoiic1kg,3.5,2,3.201385243
HDTv_rnmSL8AQ04_zTWARA,2.5,17,1.83373445
nBl_NeArpL08MpoghDiA_A,4,2,2.865977544
J011r7mUV1QhgLJ7GkrtMw,4,2,2.932024893
#NAME?,3,8,1.279666353
SvoJ3Y3uqDfB4iGUaWXh8Q,3,15,2.6692553
6xEl2PDJulIp1PfWqa7-aA,3.5,2,2.595261859
GQloL8yRHymE0SGZq-B0zQ,3,17,1.162284255
Lm_mR5xDF91OeZw97ch41g,2.5,17,1.740063306
aj4XHn7jZ48euP4g8ape-Q,3.5,18,1.187620116
KnlNwiIELDWAR686Bk2WJg,3.5,2,2.914444525
XzaJf6WzpU7RsXTXzx72Xg,4,14,2.500059728
PTS4MxQel-xzj5qWxVn3LQ,3.5,2,2.892954974
