"","id","name","latitude","longitude","category"
"173","IvgKdlte_JNdd17XRxkOrg","Graziano's Pizzeria",0.4659283,-79.9548907,"Pizza, Restaurants"
"194","YDCxBTJmF-lLCk1Qx8vDfg","Sammy's Famous Corned Beef",0.4655702,-79.9557489,"Fast Food, Restaurants"
"34","T49ZvBa6mD4xHSmjHe-ArA","R & B's Pizza Place",0.494301,-80.0533931,"Pizza, Restaurants"
"35","eOv0Dbq2E8sd0CKMAqTImw","Luigi's Pizzeria",0.495887,-80.056877,"Pizza, Restaurants"
"36","_jsJFrAmFVPRio0eEVExbA","McDonald's",0.492067,-80.06235,"Burgers, Fast Food, Restaurants"
"37","Lml0-yTNsMYsP9IrSMxw9A","China Sea Chinese Restaurant",0.4970698,-80.0586009,"Chinese, Restaurants"
"38","QVZBd_eu0oJ4IN0md2XPTQ","Vivo",0.496371,-80.057905,"Restaurants, Italian"
"39","udZJ8YgsHdqtFDQkyPTV1Q","Arby's Roast Beef Restaurants",0.487671,-80.055464,"Restaurants"
"40","ucKQlQvOeJxETLNkpKcaSw","Rusty Nail",0.4966408,-80.057381,"American (Traditional), Restaurants"
"2","KayYbHCt-RkbGcPdGOThNg","Alexion's Bar & Grill",0.415517,-80.067534,"Bars, American (Traditional), Nightlife, Restaurants"
"206","xUf11yTcoRagwNiJcY8GAA","McDonald's",0.4256974,-80.0502872,"Burgers, Fast Food, Restaurants"
"41","ZL6DNzyenFm9Kpz6uADlNg","Pino's Contemporary Italian Restaurant & Wine Bar",0.450249,-79.9145,"Tapas/Small Plates, Restaurants, Italian"
"42","OcTG-KzDleuRub-pb6JS3Q","Eddie's Pizza Haus",0.4852511,-79.9259794,"Pizza, Restaurants"
"43","Y2p07YEC8xOsYTHWf0UxiA","Tasty Chinese Restaurant",0.4582511,-79.9251169,"Chinese, Restaurants"
"44","g58NW9q4F09wTMiI7EIjmg","Vento's Pizza",0.4653904,-79.9229971,"Pizza, Restaurants"
"45","Pu5uzlZ05pqVlx6LcZbfgw","Minutello's Restaurant & Lounge",0.458703,-79.922447,"Italian, Pizza, Restaurants"
"46","83_p9vIqOq1TUIf3_GD7bA","Enrico's Tazza D'oro Cafe & Espresso Bar",0.474884,-79.918862,"Food, Coffee & Tea, Cafes, Restaurants"
"48","UtWJ8NGMg-3z28s0RzlUoQ","China Garden",0.4579265,-79.9180322,"Chinese, Restaurants"
"49","bZcqORBnVApUA2-SEn7VEQ","McDonald's",0.4584723,-79.9187095,"Burgers, Fast Food, Restaurants"
"50","B9C6j80ob0f1pwi1Cnnd1Q","Pizza Parma",0.4582251,-79.9251182,"Pizza, Restaurants"
"51","tvXTHj9V5sgRoeVJW_FiTg","Jimmy Tsang's Chinese Restaurant",0.4572607,-79.9336632,"Chinese, Restaurants"
"52","2SwC8wqpZC4B9iFVTgYT9A","Casbah",0.458138,-79.924797,"Wine Bars, Bars, Mediterranean, Nightlife, Restaurants"
"53","PzG0XmAmtXFs6Fdnubf41g","Quiet Storm Vegetarian & Vegan Cafe",0.464485,-79.935388,"Food, Coffee & Tea, Vegetarian, Restaurants"
"57","W7-Ybhe6JWJFXjcbmgvdyA","Great Wall Chinese Food",0.4147064,-79.9877685,"Chinese, Restaurants"
"58","qUeBDN0D8SC93KeAHhiL-g","Alla Famiglia",0.4216159,-79.9934656,"Restaurants, Italian"
"59","YXuvFMtygHPFEOEXgRtgLQ","No 1 China House",0.4218925,-79.992815,"Chinese, Restaurants"
"60","LltDzuzRbAJbSrqD4JH-3A","Hunan Wok Chinese Takeout",0.3923844,-79.9866275,"Chinese, Restaurants"
"61","VkqKyq09rDYMhFk5nElWWA","Bishop's Pizza",0.393115,-79.986911,"Food, Ice Cream & Frozen Yogurt, Pizza, Restaurants"
"62","QIJa5h2d65Bgh82zct7c7A","Frank & Shirley's Restaurant",0.388311,-79.996225,"American (Traditional), Diners, Restaurants"
"63","PTkChuI3GPCw-ZL1Iph76A","DiCarlo's Original Pizza",0.3923831,-79.9972486,"Italian, Pizza, Restaurants"
"64","BbIh5NTizhV4Fq_mLmNkpg","Long John Silver's Inc",0.387167,-79.98224,"Seafood, Restaurants"
"65","IxQ1ATP_Wg_QujO9nywzcQ","Max's Allegheny Tavern",0.455167,-79.999815,"German, Pubs, Bars, Nightlife, Restaurants"
"66","TyIsuojeKcTb4Acfg7xqew","China Taste",0.4541341,-79.9981189,"Chinese, Restaurants"
"67","oj8bMz76cKXQClpFTFNW9w","North Shore Deli",0.4535039,-79.9992711,"Delis, Restaurants"
"68","k1A8pNspBPinGDivxkuDSA","Clark Bar & Grill",0.4489884,-80.0088714,"Bars, American (Traditional), Nightlife, Restaurants"
"71","OjzR6hUYasFReo0vhVn0-w","Teutonia Mannerchor",0.455167,-79.994957,"German, Beer, Wine & Spirits, Food, Restaurants"
"72","6AnorAMPkTdSDbUkOoV1Rw","Billy's Troy Hill Bistro",0.4643755,-79.9821671,"Bistros, Restaurants"
"73","rEKBr81s19Soh3dYj4bcGQ","Pizza Hut",0.4566455,-80.0070383,"Italian, Pizza, Chicken Wings, Restaurants"
"74","q_BKmbdlYfQJroJVHfYMUQ","Legends North Shore",0.4566092,-80.0015054,"Restaurants, Italian"
"75","vMCCvnDU-Iz_D_pmbcMqzA","Peanutz",0.4534984,-80.0012052,"Bars, American (New), Nightlife, Restaurants"
"76","hUV4bjXE8Ijd-pDNr8S6mA","Steves New York Hotdog Shop",0.455929,-80.0065429,"Hot Dogs, Restaurants"
"77","Z101WZaISochG6g7tI2ZVw","Atria's Restaurant",0.4480678,-80.0042395,"American (New), Sandwiches, Restaurants"
"78","Eixtf79t1_ZKaC-7J2kAWg","Pickles Pizza & Sandwich Emporium",0.4535915,-80.0008071,"Pizza, Restaurants"
"79","Z0OGW8PysysRXE0dR7QxQQ","Wilson's Bar-B-Q",0.456259,-80.014446,"Barbeque, Restaurants"
"80","I9-Ei8_KYtMjbixNJSCvwA","The Isaly Company",0.4534946,-79.9993338,"Food, Ice Cream & Frozen Yogurt, Delis, Restaurants"
